CityId,DistrictId,CityName,DistrictName,MaxLentilArea,MaxBeanArea,MaxSunflowerArea,MaxChickpeaArea,MaxPotatoArea,MaxRiceArea,MaxCanolaArea,MaxSoybeanArea,MaxTomatoArea,MaxSugarbeetArea,MaxCottonArea,MaxCornArea,MaxPeanutArea,MaxBarleyArea,MaxOatArea,MaxWheatArea,MaxOnionArea
66,704,YOZGAT,AYDINCIK,100.0000,229.0909,1821.8182,10003.6364,2967.2727,100.0000,100.0000,100.0000,100.0000,4385.4545,100.0000,100.0000,100.0000,16505.4546,1309.0909,41301.8182,5836.3636
11,705,BİLECİK,SÖĞÜT,100.0000,100.0000,100.0000,229.0909,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,6261.8182,229.0909,27021.8182,100.0000
58,706,SİVAS,HAFİK,100.0000,100.0000,100.0000,272.7273,3709.0909,100.0000,100.0000,100.0000,100.0000,17432.7273,100.0000,100.0000,100.0000,10505.4546,4309.0909,116400.0000,100.0000
6,707,ANKARA,AYAŞ,100.0000,163.6364,294.5455,49592.7273,207.2727,100.0000,100.0000,100.0000,130.9091,3752.7273,100.0000,141.8182,100.0000,111938.1818,2290.9091,140901.8182,2967.2727
17,708,ÇANAKKALE,EZİNE,100.0000,3436.3636,10876.3636,2029.0909,100.0000,20825.4546,100.0000,100.0000,11127.2727,100.0000,981.8182,7756.3636,109.0909,41825.4546,2083.6364,99556.3636,316.3636
28,710,GİRESUN,ÇAMOLUK,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
17,711,ÇANAKKALE,BAYRAMİÇ,100.0000,1636.3636,589.0909,3960.0000,100.0000,100.0000,1592.7273,100.0000,4876.3636,100.0000,100.0000,1636.3636,338.1818,58974.5455,9556.3636,126381.8182,250.9091
4,712,AĞRI,MERKEZ,100.0000,100.0000,632.7273,392.7273,338.1818,100.0000,100.0000,100.0000,100.0000,4156.3636,100.0000,100.0000,100.0000,251160.0000,3927.2727,222010.9091,100.0000
60,713,TOKAT,PAZAR,100.0000,250.9091,11345.4546,174.5455,130.9091,100.0000,100.0000,100.0000,2192.7273,5978.1818,100.0000,25941.8182,100.0000,3098.1818,100.0000,16887.2727,1014.5455
58,714,SİVAS,DOĞANŞAR,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,425.4545,100.0000,1014.5455,100.0000
19,715,ÇORUM,ALACA,100.0000,240.0000,90829.0909,134607.2727,4396.3636,100.0000,100.0000,100.0000,185.4545,26530.9091,100.0000,392.7273,100.0000,102021.8182,981.8182,279414.5455,42720.0000
6,716,ANKARA,KAZAN,100.0000,1614.5455,100.0000,16374.5455,687.2727,100.0000,100.0000,100.0000,100.0000,6589.0909,100.0000,643.6364,100.0000,74683.6364,360.0000,86356.3636,676.3636
10,717,BALIKESİR,SUSURLUK,100.0000,1920.0000,51534.5455,2421.8182,100.0000,1723.6364,100.0000,100.0000,5989.0909,436.3636,100.0000,4789.0909,100.0000,10407.2727,6174.5455,138534.5455,600.0000
71,718,KIRIKKALE,SULAKYURT,100.0000,174.5455,100.0000,35301.8182,100.0000,4341.8182,100.0000,100.0000,100.0000,1167.2727,100.0000,100.0000,100.0000,52625.4546,100.0000,139003.6364,100.0000
16,719,BURSA,İNEGÖL,100.0000,283.6364,11661.8182,414.5455,8247.2727,100.0000,1832.7273,100.0000,1232.7273,381.8182,100.0000,938.1818,100.0000,4232.7273,1832.7273,72720.0000,403.6364
76,720,IĞDIR,ARALIK,100.0000,100.0000,100.0000,100.0000,480.0000,19494.5455,100.0000,100.0000,100.0000,100.0000,28527.2727,7450.9091,100.0000,41160.0000,100.0000,114567.2727,100.0000
25,721,ERZURUM,KÖPRÜKÖY,100.0000,100.0000,100.0000,100.0000,229.0909,100.0000,100.0000,100.0000,100.0000,3970.9091,100.0000,100.0000,100.0000,9425.4545,100.0000,136080.0000,100.0000
11,722,BİLECİK,YENİPAZAR,100.0000,100.0000,338.1818,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,3174.5455,100.0000,8858.1818,100.0000
17,723,ÇANAKKALE,YENİCE,100.0000,327.2727,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2127.2727,100.0000,100.0000,130.9091,100.0000,4003.6364,2203.6364,15469.0909,100.0000
69,724,BAYBURT,DEMİRÖZÜ,100.0000,349.0909,100.0000,807.2727,2858.1818,100.0000,100.0000,100.0000,100.0000,16909.0909,100.0000,100.0000,100.0000,42163.6364,545.4545,64352.7273,100.0000
29,725,GÜMÜŞHANE,KELKİT,130.9091,5934.5455,100.0000,861.8182,5356.3636,100.0000,100.0000,100.0000,100.0000,4080.0000,100.0000,100.0000,100.0000,69720.0000,403.6364,124374.5455,100.0000
76,726,IĞDIR,MERKEZ,100.0000,534.5455,100.0000,1407.2727,2225.4545,100.0000,100.0000,100.0000,100.0000,5552.7273,447.2727,101389.0909,100.0000,100516.3636,100.0000,274614.5455,100.0000
16,727,BURSA,MUSTAFAKEMALPAŞA,100.0000,2618.1818,3032.7273,2280.0000,327.2727,152.7273,100.0000,100.0000,65421.8182,2247.2727,100.0000,36414.5455,100.0000,20683.6364,14705.4546,114076.3636,1472.7273
16,728,BURSA,YILDIRIM,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
25,729,ERZURUM,PASİNLER,100.0000,392.7273,774.5455,100.0000,43963.6364,100.0000,100.0000,100.0000,100.0000,16865.4546,100.0000,100.0000,100.0000,34210.9091,100.0000,184178.1818,100.0000
19,730,ÇORUM,ORTAKÖY,100.0000,109.0909,100.0000,4440.0000,100.0000,100.0000,100.0000,100.0000,130.9091,109.0909,100.0000,109.0909,100.0000,8105.4545,141.8182,29618.1818,109.0909
10,731,BALIKESİR,MANYAS,100.0000,2563.6364,18927.2727,1112.7273,100.0000,87567.2727,534.5455,100.0000,3730.9091,163.6364,100.0000,2640.0000,100.0000,16134.5455,4440.0000,117916.3636,174.5455
76,732,IĞDIR,KARAKOYUNLU,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,1767.2727,100.0000,19374.5455,100.0000,11072.7273,100.0000,75752.7273,100.0000
29,733,GÜMÜŞHANE,KÖSE,100.0000,763.6364,100.0000,2029.0909,174.5455,100.0000,100.0000,100.0000,100.0000,534.5455,100.0000,100.0000,100.0000,60120.0000,100.0000,71923.6364,100.0000
6,734,ANKARA,KALECİK,100.0000,130.9091,100.0000,21730.9091,100.0000,100.0000,100.0000,100.0000,100.0000,5181.8182,100.0000,512.7273,100.0000,114152.7273,100.0000,203487.2727,100.0000
25,735,ERZURUM,YAKUTİYE,100.0000,100.0000,100.0000,100.0000,4887.2727,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,41890.9091,100.0000,121603.6364,100.0000
11,736,BİLECİK,MERKEZ,100.0000,240.0000,5149.0909,100.0000,100.0000,100.0000,1560.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,7516.3636,250.9091,58898.1818,632.7273
6,737,ANKARA,NALLIHAN,100.0000,100.0000,100.0000,1101.8182,229.0909,2018.1818,100.0000,100.0000,100.0000,381.8182,100.0000,100.0000,100.0000,58080.0000,100.0000,94320.0000,643.6364
6,738,ANKARA,GÜDÜL,100.0000,100.0000,100.0000,1712.7273,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,26236.3636,100.0000,28810.9091,100.0000
17,739,ÇANAKKALE,ÇAN,100.0000,1843.6364,1472.7273,589.0909,100.0000,100.0000,774.5455,100.0000,643.6364,100.0000,100.0000,100.0000,100.0000,60174.5455,23792.7273,127745.4545,1690.9091
29,740,GÜMÜŞHANE,ŞİRAN,283.6364,6360.0000,100.0000,447.2727,1669.0909,100.0000,100.0000,100.0000,100.0000,850.9091,100.0000,100.0000,100.0000,7592.7273,109.0909,51654.5455,100.0000
76,741,IĞDIR,TUZLUCA,100.0000,1210.9091,100.0000,100.0000,141.8182,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,132807.2727,100.0000,292058.1818,100.0000
16,742,BURSA,NİLÜFER,100.0000,381.8182,18665.4546,218.1818,100.0000,100.0000,109.0909,100.0000,100.0000,100.0000,100.0000,992.7273,100.0000,9872.7273,141.8182,64516.3636,109.0909
60,743,TOKAT,ZİLE,100.0000,2040.0000,80585.4546,4134.5455,512.7273,100.0000,100.0000,100.0000,512.7273,22669.0909,100.0000,100.0000,100.0000,86389.0909,3065.4545,355385.4545,20400.0000
16,744,BURSA,KESTEL,100.0000,100.0000,1036.3636,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2105.4545,349.0909,13374.5455,100.0000
16,745,BURSA,GÜRSU,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,218.1818,100.0000,1178.1818,100.0000
58,746,SİVAS,SUŞEHRİ,100.0000,1254.5455,100.0000,1505.4545,621.8182,100.0000,100.0000,100.0000,100.0000,2225.4545,100.0000,1963.6364,100.0000,12861.8182,130.9091,58090.9091,100.0000
60,747,TOKAT,ALMUS,100.0000,109.0909,100.0000,403.6364,218.1818,100.0000,100.0000,100.0000,100.0000,665.4545,100.0000,100.0000,100.0000,3621.8182,709.0909,10821.8182,100.0000
11,748,BİLECİK,GÖLPAZARI,100.0000,163.6364,7810.9091,100.0000,100.0000,100.0000,100.0000,100.0000,283.6364,100.0000,100.0000,100.0000,100.0000,10232.7273,100.0000,29498.1818,100.0000
