CityId,DistrictId,CityName,DistrictName,WheatYield,BarleyYield,OatYield,CottonYield,SoybeanYield,TomatoYield,CanolaYield,PotatoYield,SugarbeetYield,OnionYield,BeanYield,LentilYield,ChickpeaYield,PeanutYield,RiceYield,CornYield,SunflowerYield
28,885,G?RESUN,ÇANAKÇI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,886,?STANBUL,ADALAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,887,ORDU,GÜLYALI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,888,DÜZCE,Ç?L?ML?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
19,889,ÇORUM,?SK?L?P,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,890,SAMSUN,LAD?K,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,891,KOCAEL?,D?LOVASI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,892,TRABZON,DÜZKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,893,G?RESUN,ESP?YE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,895,G?RESUN,KE?AP,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
14,897,BOLU,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,898,SAKARYA,HENDEK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,899,TRABZON,HAYRAT,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,900,TRABZON,SÜRMENE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,901,DÜZCE,CUMAYER?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,902,TRABZON,TONYA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
5,903,AMASYA,MERZ?FON,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,904,SAKARYA,ADAPAZARI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,905,ORDU,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,906,TRABZON,?ALPAZARI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
25,908,ERZURUM,?ENKAYA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,909,TRABZON,ARAKLI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,910,DÜZCE,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,911,TRABZON,ARS?N,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
18,912,ÇANKIRI,ILGAZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,913,TRABZON,YOMRA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
14,914,BOLU,MENGEN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,915,KOCAEL?,?ZM?T,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
59,916,TEK?RDA?,?ARKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,917,SAKARYA,SÖ?ÜTLÜ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,918,ORDU,ÇAYBA?I,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
78,919,KARABÜK,ESK?PAZAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
36,920,KARS,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
5,921,AMASYA,GÜMÜ?HACIKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,922,R?ZE,KALKANDERE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
18,923,ÇANKIRI,BAYRAMÖREN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,924,?STANBUL,KARTAL,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,925,SAMSUN,AYVACIK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,926,ORDU,FATSA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,927,G?RESUN,T?REBOLU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,928,TRABZON,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,929,TRABZON,OF,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,930,?STANBUL,TUZLA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
