CityId,CityName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
49,MUŞ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NEVŞEHİR,872620,-171016067,254805040,832740,-285796368,220676100,50480,-9020776,14033440,0,0,0,0,0,0,5680,-1302139,41145920,0,0,0,68840,111155948,241903760,70400,21955648,481958400,550,3268980,1830950,106470,91604658,28853370,13170,1922162,2067690,95610,592782,11760030,0,0,0,0,0,0,30,-2216,28230,3500,3063620,1022000
51,NİĞDE,616980,-120915740,180158160,219420,-75304944,58146300,35270,-6302749,9805060,0,0,0,0,0,0,29990,-6875207,217247560,0,0,0,176980,285769606,621907720,22410,6989008,153418860,6980,41486328,23236420,177390,152622809,48072690,0,0,0,41110,254882,5056530,0,0,0,0,0,0,820,-60557,771620,0,0,0
52,ORDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,RİZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,SAKARYA,94470,-18514231,27585240,39210,-13456872,10390650,560,-100072,155680,0,0,0,0,0,0,1610,-369092,11662840,0,0,0,1530,2470491,5376420,8950,2791237,61271700,860,5111496,2862940,940,808757,254740,0,0,0,120,744,14760,0,0,0,0,0,0,350300,-25869658,329632300,29510,25830692,8616920
55,SAMSUN,881080,-172674061,257275360,91370,-31358184,24213050,8980,-1604726,2496440,0,0,0,22310,-6794286,9861020,1280,-293440,9272320,420,128226,145740,3970,6410359,13950580,30520,9518272,208939920,220,1307592,732380,7440,6401228,2016240,0,0,0,3270,20274,402210,0,0,0,207860,176171744,162546520,115570,-8534849,108751370,130070,113852873,37980440
56,SİİRT,224370,-43972032,65516040,39620,-13597584,10499300,0,0,0,3040,8861478,1501760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,118872,66580,10,8604,2710,89360,13042092,14029520,2840,17608,349320,0,0,0,0,0,0,17010,-1256189,16006410,0,0,0
57,SİNOP,137940,-27033482,40278480,22640,-7770048,5999600,6110,-1091857,1698580,0,0,0,0,0,0,20,-4585,144880,0,0,0,0,0,0,0,0,0,20,118872,66580,6640,5712922,1799440,0,0,0,560,3472,68880,0,0,0,30650,25977409,23968300,35350,-2610601,33264350,0,0,0
58,SİVAS,1817010,-356097619,530566920,1103990,-378889368,292557350,113080,-20207396,31436240,0,0,0,0,0,0,0,0,0,0,0,0,49950,80654265,175524300,137430,42860294,940845780,120,713232,399480,4290,3691031,1162590,910,132815,142870,111420,690804,13704660,0,0,0,0,0,0,3960,-292447,3726360,1580,1383006,461360
