CityId,DistrictId,IrrigationId,CityName,DistrictName,WheatCost,BarleyCost,OatCost,CottonCost,SoybeanCost,TomatoCost,CanolaCost,PotatoCost,SugarbeetCost,OnionCost,BeanCost,LentilCost,ChickpeaCost,PeanutCost,RiceCost,CornCost,SunflowerCost
80,211,1,OSMAN?YE,SUMBAS,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
46,213,1,KAHRAMANMARA?,PAZARCIK,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
47,214,1,MARD?N,M?DYAT,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
51,215,1,N??DE,ULUKI?LA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
80,216,1,OSMAN?YE,KAD?RL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
30,217,1,HAKKAR?,ÇUKURCA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,218,1,MU?LA,YATA?AN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
2,220,1,ADIYAMAN,SAMSAT,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
47,221,1,MARD?N,MAZIDA?I,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,222,1,MU?LA,KAVAKLIDERE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,223,1,KONYA,SEYD??EH?R,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,225,1,ADANA,ALADA?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
20,226,1,DEN?ZL?,KALE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,227,1,?ANLIURFA,H?LVAN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
20,228,1,DEN?ZL?,ACIPAYAM,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
15,229,1,BURDUR,A?LASUN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,230,1,MU?LA,M?LAS,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
32,231,1,ISPARTA,SÜTÇÜLER,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,232,1,KONYA,ÇUMRA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
2,233,1,ADIYAMAN,BESN?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
9,234,1,AYDIN,D?D?M,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
73,235,1,?IRNAK,ULUDERE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
20,238,1,DEN?ZL?,SER?NH?SAR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,239,1,ADANA,KOZAN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
46,240,1,KAHRAMANMARA?,ANDIRIN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
46,241,1,KAHRAMANMARA?,ÇA?LAYANCER?T,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
46,242,1,KAHRAMANMARA?,DULKAD?RO?LU,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
30,243,1,HAKKAR?,?EMD?NL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
47,244,1,MARD?N,DARGEÇ?T,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
73,245,1,?IRNAK,GÜÇLÜKONAK,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
47,246,1,MARD?N,SAVUR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
9,247,1,AYDIN,KARPUZLU,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
20,248,1,DEN?ZL?,TAVAS,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
15,249,1,BURDUR,YE??LOVA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
15,253,1,BURDUR,MERKEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
32,254,1,ISPARTA,YEN??ARBADEML?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
32,256,1,ISPARTA,AKSU,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,257,1,KONYA,MERKEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
72,258,1,BATMAN,GERCÜ?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
72,259,1,BATMAN,HASANKEYF,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
21,260,1,D?YARBAKIR,ÇINAR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
73,261,1,?IRNAK,MERKEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
